claim_id,system,pass,latency_ms,tokens,cost,termination_reason,iterations,expected_status,actual_status,expected_payout,actual_payout,expected_excess,actual_excess,error
W6-001,agent,True,5884.5,3623,0.003404,completed,3,approved,approved,28500.0,28500.0,1500,1500,
W6-002,agent,True,55834.4,5715,0.005186,completed,4,excluded,excluded,0.0,0.0,2500,2500,
W6-003,agent,True,5710.9,3559,0.003353,completed,3,approved,approved,28200.0,28200.0,1800,1800,
W6-004,agent,True,57206.8,5671,0.005145,completed,4,excluded,excluded,0.0,0.0,2000,2000,
W6-005,agent,True,5555.0,3501,0.003274,completed,3,approved,approved,27800.0,27800.0,2200,2200,
W6-006,agent,True,61122.3,5757,0.005217,completed,4,approved,approved,28200.0,28200.0,1800,1800,
W6-008,agent,True,65863.4,5741,0.005194,completed,4,excluded,excluded,0.0,0.0,2500,2500,
W6-009,agent,True,5792.4,3607,0.003398,completed,3,approved,approved,28000.0,28000.0,2000,2000,
W6-010,agent,True,55048.4,3543,0.00334,completed,3,approved,approved,28500.0,28500.0,1500,1500,
W6-011,agent,True,8382.2,5749,0.005217,completed,4,excluded,excluded,0.0,0.0,2000,2000,
W6-001,workflow,True,2.4,0,0.0,completed,3,approved,approved,28500.0,28500.0,1500,1500,
W6-002,workflow,True,2.7,0,0.0,completed,3,excluded,excluded,0.0,0.0,2500,2500,
W6-003,workflow,True,4.0,0,0.0,completed,3,approved,approved,28200.0,28200.0,1800,1800,
W6-004,workflow,True,2.7,0,0.0,completed,3,excluded,excluded,0.0,0.0,2000,2000,
W6-005,workflow,True,2.1,0,0.0,completed,3,approved,approved,27800.0,27800.0,2200,2200,
W6-006,workflow,True,2.2,0,0.0,completed,3,approved,approved,28200.0,28200.0,1800,1800,
W6-008,workflow,True,3.7,0,0.0,completed,3,excluded,excluded,0.0,0.0,2500,2500,
W6-009,workflow,True,2.8,0,0.0,completed,3,approved,approved,28000.0,28000.0,2000,2000,
W6-010,workflow,True,3.3,0,0.0,completed,3,approved,approved,28500.0,28500.0,1500,1500,
W6-011,workflow,True,2.6,0,0.0,completed,3,excluded,excluded,0.0,0.0,2000,2000,
